기준연월,목적지 유형,목적지 검색량
202304,전체,39791
202306,전체,40264
202307,전체,37213
202309,전체,57975
202305,전체,49364
202308,전체,46948
202310,전체,74496
202311,전체,46777
202312,전체,36808
202402,전체,34932
202401,전체,30691
202403,전체,37234
202304,숙박,6015
202304,음식,13882
202304,기타관광,8837
202304,쇼핑,1202
202304,문화관광,1705
202304,역사관광,7332
202304,자연관광,61
202304,체험관광,419
202304,레저스포츠,338
202306,기타관광,8615
202306,숙박,5727
202306,음식,14591
202306,쇼핑,1110
202306,문화관광,1830
202306,역사관광,7434
202306,자연관광,235
202306,체험관광,308
202306,레저스포츠,414
202307,기타관광,7530
202307,숙박,6408
202307,음식,14886
202307,쇼핑,951
202307,문화관광,1499
202307,역사관광,5246
202307,자연관광,92
202307,체험관광,309
202307,레저스포츠,292
202309,숙박,7161
202309,음식,19217
202309,기타관광,14307
202309,쇼핑,1909
202309,문화관광,3730
202309,역사관광,9385
202309,자연관광,1432
202309,체험관광,434
202309,레저스포츠,400
202305,숙박,7345
202305,음식,17476
202305,기타관광,9539
202305,쇼핑,1308
202305,문화관광,2377
202305,역사관광,9722
202305,자연관광,45
202305,체험관광,515
202305,레저스포츠,1037
202308,숙박,7800
202308,음식,18060
202308,기타관광,8782
202308,쇼핑,1259
202308,문화관광,2478
202308,역사관광,7444
202308,자연관광,535
202308,체험관광,289
202308,레저스포츠,301
202310,기타관광,12312
202310,숙박,9316
202310,음식,21002
202310,쇼핑,3181
202310,문화관광,8042
202310,역사관광,18054
202310,자연관광,1644
202310,체험관광,368
202310,레저스포츠,577
202311,기타관광,10025
202311,숙박,6590
202311,음식,14671
202311,쇼핑,1512
202311,문화관광,1969
202311,역사관광,10278
202311,자연관광,934
202311,체험관광,334
202311,레저스포츠,464
202312,기타관광,8608
202312,숙박,5621
202312,음식,13646
202312,쇼핑,870
202312,문화관광,2434
202312,역사관광,4300
202312,자연관광,790
202312,체험관광,377
202312,레저스포츠,162
202402,기타관광,9531
202402,숙박,3862
202402,음식,12712
202402,쇼핑,794
202402,문화관광,2133
202402,역사관광,4802
202402,자연관광,653
202402,체험관광,372
202402,레저스포츠,73
202401,기타관광,7638
202401,숙박,3929
202401,음식,11560
202401,쇼핑,763
202401,문화관광,1867
202401,역사관광,3766
202401,자연관광,666
202401,체험관광,394
202401,레저스포츠,108
202403,기타관광,8582
202403,숙박,4844
202403,음식,13357
202403,쇼핑,970
202403,문화관광,2136
202403,역사관광,5677
202403,자연관광,778
202403,체험관광,680
202403,레저스포츠,210
